Category,Item,Provider,Spec,Monthly Cost (USD),Source
LLM API,Gemini 2.5 Flash,Google Vertex AI,Input per 1M tokens,$0.30,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,Gemini 2.5 Flash,Google Vertex AI,Output per 1M tokens,$2.50,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,Gemini 2.5 Flash Batch,Google Vertex AI,Input per 1M tokens,$0.15,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,Gemini 2.5 Flash Batch,Google Vertex AI,Output per 1M tokens,$1.25,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,Gemini 3.1 Pro,Google Vertex AI,Input per 1M tokens,$2.00,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,Gemini 3.1 Pro,Google Vertex AI,Output per 1M tokens,$12.00,https://cloud.google.com/vertex-ai/generative-ai/pricing
LLM API,text-embedding-3-small,OpenAI,Per 1M tokens,$0.02,https://openai.com/api/pricing/
Infra - Vector DB,Qdrant Cloud,Qdrant,2GB cluster,$30-60,https://qdrant.tech/pricing/
Infra - Vector DB,Qdrant Cloud,Qdrant,8GB cluster,$120-200,https://qdrant.tech/pricing/
Infra - Graph DB,Memgraph Community,Self-hosted,Stateful VM required,$0 (license),https://memgraph.com/pricing
Infra - Graph DB,Neo4j Aura,Neo4j,Per GB/month,$65,https://neo4j.com/pricing/
Infra - Cache,Upstash,Upstash,Serverless Redis,$10-25,https://upstash.com/pricing
Infra - Cache,Redis Cloud,Redis,Pro plan,$200,https://redis.io/pricing/
Infra - Compute,Cloud Run,GCP,API hosting,$20-50,https://cloud.google.com/run/pricing
Infra - Compute,Stateful VM (n2-standard-4),GCP,4 vCPU 16GB (Memgraph host),$120,https://cloud.google.com/compute/vm-instance-pricing
Infra - Compute,Stateful VM (n2-standard-8),GCP,8 vCPU 32GB (larger workload),$240,https://cloud.google.com/compute/vm-instance-pricing
Infra - Storage,Persistent SSD,GCP,Per GB/month,$0.17,https://cloud.google.com/compute/disks-image-pricing
Infra - Storage,Persistent SSD 100GB,GCP,100GB,$17,https://cloud.google.com/compute/disks-image-pricing
Infra - Storage,Persistent SSD 500GB,GCP,500GB,$85,https://cloud.google.com/compute/disks-image-pricing
GPU - Dedicated,RTX 4000 Ada,Hetzner,20GB VRAM,$200 (EUR 184),https://www.hetzner.com/dedicated-rootserver/
GPU - Dedicated,RTX 6000 Ada (GEX130),Hetzner,48GB VRAM,$910 (EUR 838),https://www.hetzner.com/dedicated-rootserver/gex130/
GPU - Cloud,A100 80GB,Vast.ai,Per hour,$0.60-1.07,https://vast.ai/pricing
GPU - Cloud,A100 80GB,Vast.ai,Monthly (24/7),$430-770,https://vast.ai/pricing
GPU - Cloud,H100 80GB,Vast.ai,Per hour,$0.90-1.50,https://vast.ai/pricing
GPU - Cloud,H100 80GB,Vast.ai,Monthly (24/7),$650-1100,https://vast.ai/pricing
GPU - Cloud,A100 80GB,RunPod,Per hour,$0.79,https://www.runpod.io/pricing
GPU - Cloud,RTX 4090,RunPod,Per hour,$0.44,https://www.runpod.io/pricing
GPU - Cloud,RTX 4090,RunPod,Monthly (24/7),$320,https://www.runpod.io/pricing
Competitor,mem0 Free,mem0,10K add + 1K retrieve,$0,https://mem0.ai/pricing
Competitor,mem0 Starter,mem0,50K add + 5K retrieve,$19,https://mem0.ai/pricing
Competitor,mem0 Pro,mem0,Unlimited + 50K retrieve + graph,$249,https://mem0.ai/pricing
Competitor,Zep Free,Zep,1K credits,$0,https://getzep.com/pricing
Competitor,Zep Flex,Zep,10K credits,$25,https://getzep.com/pricing
Competitor,Zep Flex Plus,Zep,40K credits,$75,https://getzep.com/pricing
Competitor,Langfuse Hobby,Langfuse,50K units,$0,https://langfuse.com/pricing
Competitor,Langfuse Core,Langfuse,100K units,$29,https://langfuse.com/pricing
Competitor,Langfuse Pro,Langfuse,100K units + features,$199,https://langfuse.com/pricing
